location;count(*)
Abuja;1
Accra;2
Ahmedabad;1
Amsterdam;26
Athens;1
Bangkok;1
Barcelona;7
Beau Vallon;1
Beijing;12
Belo Horizonte;5
Berlin;99
Blumenau;3
Brasilia;1
Bristol;3
Brno;3
Brussels;1
Bucharest;2
Budapest;1
Cairo;3
Calgary;8
Cape Town;1
Chemnitz;2
Chennai;10
Chester;1
Cluj-Napoca;1
Coimbra;1
Cologne;1
Copenhagen;9
Cork;1
Curitiba;6
DÃ¼sseldorf;1
Dakar;1
Dresden;1
Dubai;9
Dusseldorf;1
Edinburgh;3
Eindhoven;1
Espoo;1
FÃ¸rde;1
Ferdericton;1
FlorianÃ³polis;1
Frankfurt;3
Geneva;1
Ghent;1
Gothenburg;1
Guadalajara;2
Gydnia;1
Hamburg;6
Hangzhou;1
Hanoi;1
Helsinki;6
Ho Chi Minh City;2
Hong Kong;6
Hyderabad;3
Ibadan;3
Indore;1
Islamabad;1
Istanbul;2
Jakarta;41
Joinville;2
Karachi;2
Karlsruhe;3
Kfar Saba;1
Kiel;1
Kitchener;1
Kolkata;1
Krakow;3
Kyiv;1
Lagos;32
Lahore;2
Leeds;1
Lima;1
Limassol;2
Linz;2
Lisbon;3
Lodz;1
Luxembourg;3
Madrid;3
MalmÃ¶;1
Malmo;2
Manama;1
Manchester;5
Manila;1
Melbourne;22
Mexico City;5
Milan;1
Monterrey;1
Montevideo;4
Moscow;1
Munich;13
Nairobi;15
Nashik;1
New Delhi;30
Noida;7
Oslo;10
Ottawa;10
Oxford;2
Paris;21
Patna;1
Porto Alegre;1
Prague;2
Pune;2
Quebec;2
Ra'anana;2
Riyadh;1
Salisbury;1
Sandnes;1
Santiago;6
Sao Paulo;69
Saskatoon;5
Sderot;1
Selangor;1
Seoul;3
Shanghai;8
Shenzen;8
Sliema;1
Sofia;1
St. Gallen;1
Stockholm;40
Sydney;53
Tallinn;12
The Hague;1
Tokyo;8
Toronto;81
Toulouse;1
Trivandrum;1
Utrecht;1
Veldhoven;1
Victoria;1
Vienna;6
Vilnius;3
Walldorf;2
Warsaw;1
Waterloo;10
Wellington;3
Winnipeg;2
WrocÅ‚aw;1
Xi'an;1
Yangon;1
Yavne;1
Zug;2
Zurich;4
