location,count(*)
Toronto,81
"Belo Horizonte",5
"Sao Paulo",69
Sydney,53
Saskatoon,5
"New Delhi",30
Stockholm,40
Zurich,4
Berlin,99
Brasilia,1
Lahore,2
Copenhagen,9
Oslo,10
Jakarta,41
Helsinki,6
Frankfurt,3
Ibadan,3
Tokyo,8
Hangzhou,1
Moscow,1
"Hong Kong",6
Blumenau,3
Paris,21
Vienna,6
Waterloo,10
Krakow,3
Chennai,10
Munich,13
Shanghai,8
Veldhoven,1
Calgary,8
Kitchener,1
Dubai,9
Melbourne,22
Curitiba,6
Bristol,3
Athens,1
Santiago,6
Lagos,32
Sderot,1
Quebec,2
Budapest,1
"Mexico City",5
Shenzen,8
Utrecht,1
Amsterdam,26
Malmo,2
Cairo,3
Madrid,3
Beijing,12
Milan,1
Sliema,1
Nairobi,15
Karlsruhe,3
Hamburg,6
Manchester,5
Edinburgh,3
Victoria,1
Brussels,1
Joinville,2
Lima,1
Karachi,2
Cologne,1
Patna,1
Sandnes,1
Tallinn,12
Noida,7
Barcelona,7
Coimbra,1
Bucharest,2
Pune,2
Yangon,1
Istanbul,2
Kiel,1
Indore,1
Seoul,3
Trivandrum,1
Hyderabad,3
Prague,2
Warsaw,1
Ferdericton,1
Ra'anana,2
FlorianÃ³polis,1
Gothenburg,1
Selangor,1
Vilnius,3
Ottawa,10
Brno,3
Guadalajara,2
Manila,1
Ahmedabad,1
Geneva,1
Xi'an,1
Luxembourg,3
Lisbon,3
Accra,2
Gydnia,1
Riyadh,1
Monterrey,1
MalmÃ¶,1
